channelId,channelTitle,country,subscriberCount,viewCount,videoCount,main_topic,view_per_sub
UCKHGKR_8mQcCuSOoagfpdBA,Bi Huỳnh Gaming,VN,1400000,340393984,180,Gaming,243.14
UChG2EWuXoW7Tgof35WjbsnQ,LoL Esports VN,VN,815000,360406864,2691,Gaming,442.22
UCKgALVAg70mbC4SwhkyhvRw,Free Fire Esports VN,VN,2230000,685331478,3310,Gaming,307.32
UClcDtH7Qq--bSoxjhiScxdA,Vua Bolero,VN,818000,17851091,149,Music,21.82
UCwfrLrq0ozAGuPe8pisWXsw,CaoTri Official ,VN,335000,228426372,543,Music,681.87
UCO8DeVdhHQFUD5u4upZR_lA,Khánh Phương Tube,VN,871000,344982275,365,Music,396.08
UCPDs5WRe5P-DFW_1EIPqlWQ,Orinn Mix,VN,4640000,2052321807,2479,Music,442.31
UCXdpVc3f-zBPmqOr4qEJjqw,Dương Domic,VN,567000,222707161,148,Music,392.78
UCrUiqdpkryBlR1d00tVDNog,Cafe Quán Xưa,VN,71300,13152764,69,Music,184.47
UCGO3xOdjuKhULFkwwPoE3Mg,H2O Remix,VN,2640000,800185589,2041,Music,303.1
UCBawy5DHsIGbsIJF4rhOJWw,Trung Nghĩa Official,VN,31500,9021334,236,Music,286.39
UCDGsReViNk9mmXDiakQzuoA,TRO-Music - Topic,VN,22400,7815397,23,Music,348.9
UCPjbFSSZXI7ERLRt3O0CGBQ,RHYDER OFFICIAL,VN,394000,124193963,77,Music,315.21
UCu4ZnhvM4AUpxM8D0SCnldA,Low G,VN,227000,15707932,86,Music,69.2
UCQUc6tjDQBCddTbjSD5vaGQ,Em Chè ĐTCL,VN,448000,236804678,1963,Gaming,528.58
UCPzf0TabG_Wl30zMshVfzCA,BÁC GẤU VLOG,VN,1880000,565765667,1437,Gaming,300.94
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,VN,3420000,2826584094,1920,Music,826.49
UCz_9Qop0Xv6WgXi2rXcqOQA,Dr4gons Roblox 02,VN,240000,80949607,186,Gaming,337.29
UCDhxPj5HsdH-jn7rUx6A2yg,Toga TV,VN,3850000,2251426755,1281,Gaming,584.79
UCKxbHR8VG9AyXL-W07ocrWA,Đấu Trường Chân Lý,VN,217000,62899160,2606,Gaming,289.86
UCeTI-7rPW8Q1sDKnk2AzKJw,Pháp Kiều,VN,176000,45352171,132,Music,257.68
UCv0Vs0XYT3hf5JxpRxYfGew,Mạnh Hà Lossless,VN,81200,19200676,85,Music,236.46
UCgwlwJJVhoouB5PCQCSuKLQ,Bo 2020,VN,746000,317433361,3160,Gaming,425.51
UCnvMTqCVXbV8cqaFsjxFpsg,Andree Right Hand,VN,490000,274586469,100,Music,560.38
UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,US,51300000,9577699950,156,Gaming,186.7
UCtT5uP2WIGxyP0MYCC_ZHtQ,Oops Hiha,VN,6310000,3846278569,2674,Gaming,609.55
UCLD9JqP0rMs2kRD6UimhLEw,Dr4gons Gaming,VN,50200,6366534,22,Gaming,126.82
UCm0P5i4TNItvgmPCZCGSyYA,LCK Tiếng Việt,VN,1010000,646976593,8657,Gaming,640.57
UCcr4x4DBzRD0871Vq9QyyaA,VALORANT Champions Tour Vietnam,VN,189000,97743509,4210,Gaming,517.16
UCMmTKMN79J0lBWDPGaZgl7Q,Bi Huỳnh Roblox,VN,1020000,280914045,203,Gaming,275.41
UCabqmRU7ban84GhW2rKSBhg,Nabee,VN,1510000,445284601,878,Gaming,294.89
